time [s],adc_buf[0],
3.91048,2042,
3.91258,2040,
3.9146,2036,
3.91662,2038,
3.91861,2042,
3.92059,2041,
3.92259,2039,
3.92462,2043,
3.92659,2044,
3.92859,2040,
3.93059,2039,
3.9326,2038,
3.9346,2034,
3.93661,2040,
3.93859,2040,
3.94062,2041,
3.94259,2041,
3.94459,2036,
3.94659,2039,
3.94862,2019,
3.9506,2052,
3.95259,2037,
3.9546,2041,
3.95659,2036,
3.95859,2041,
3.9606,2040,
3.96259,2042,
3.96461,2037,
3.96607,2034,
3.96818,2037,
3.97059,2042,
3.97261,2040,
3.97459,2035,
3.97659,2033,
3.97859,2051,
3.98059,2038,
3.98259,2041,
3.9846,2054,
3.98659,2043,
3.98859,2042,
3.99063,2046,
3.99259,2038,
3.99459,2037,
3.99617,2038,
3.99821,2047,
4.00019,2037,
4.00264,2046,
4.00459,2038,
4.0066,2042,
4.00859,2039,
4.01059,2039,
4.0126,2041,
4.01459,2043,
4.0166,2039,
4.01917,2043,
4.02117,2032,
4.02317,2043,
4.02517,2039,
4.02717,2041,
4.02918,2028,
4.0309,2041,
4.03261,2045,
4.03465,2049,
4.03659,2039,
4.03859,2040,
4.04059,2040,
4.04259,2044,
4.0446,2041,
4.04659,2040,
4.04859,2041,
4.05059,2043,
4.05259,2042,
4.05459,2039,
4.05659,2043,
4.0586,2024,
4.06062,2037,
4.06261,2041,
4.06468,2037,
4.06659,2042,
4.06859,2038,
4.0706,2039,
4.07262,2047,
4.07461,2042,
4.07618,2039,
4.07817,2040,
4.08017,2050,
4.08217,2043,
4.08417,2039,
4.08618,2042,
4.08817,2042,
4.09018,2040,
4.09217,2048,
4.09419,2043,
4.09619,2039,
4.09804,2038,
4.10017,2039,
4.10217,2036,
4.10418,2045,
4.1059,2047,
4.10763,2038,
4.10924,2037,
4.11117,2040,
4.11318,2038,
4.11517,2039,
4.11717,2039,
4.11917,2041,
4.12119,2041,
4.12319,2036,
4.12518,2036,
4.12681,2038,
