time [s],filter_volt,
13.7799,1.37143,
13.7813,1.37323,
13.7835,1.37108,
13.7855,1.37349,
13.7875,1.37102,
13.7895,1.37187,
13.7915,1.36453,
13.7935,1.36605,
13.7955,1.3623,
13.7975,1.3647,
13.7995,1.36354,
13.8015,1.36607,
13.8029,1.36078,
13.8049,1.36181,
13.8069,1.36089,
13.8089,1.36049,
14.0835,1.36885,
14.0853,1.36963,
14.0875,1.36462,
14.0895,1.36582,
14.0912,1.36093,
14.0929,1.36222,
14.0949,1.36111,
14.0969,1.36051,
14.0989,1.36005,
14.1009,1.36025,
14.1029,1.35804,
14.1049,1.35855,
14.1069,1.36026,
14.1089,1.36219,
14.1109,1.36188,
14.1129,1.36369,
14.1149,1.36327,
14.1169,1.36578,
14.1189,1.36649,
14.1209,1.36976,
14.1229,1.36728,
14.1249,1.37037,
14.1265,1.36989,
14.1285,1.37216,
14.1305,1.37277,
14.1319,1.37094,
14.1339,1.37018,
14.1359,1.3652,
14.1379,1.36464,
14.1399,1.36242,
14.1419,1.36354,
14.1439,1.36257,
14.1459,1.36341,
14.1479,1.36271,
14.1499,1.3616,
14.1519,1.36167,
14.1539,1.36201,
14.1559,1.36339,
14.1579,1.36425,
14.1599,1.36413,
14.1619,1.36355,
14.1639,1.36503,
14.1659,1.36575,
14.1679,1.36842,
14.1695,1.36964,
14.1715,1.36686,
14.1735,1.36965,
14.1755,1.37537,
14.1769,1.39661,
14.1789,1.42187,
14.181,1.44704,
14.1829,1.461,
14.1848,1.48062,
14.1869,1.49368,
14.1889,1.50162,
14.1909,1.5085,
14.1929,1.51657,
14.1949,1.5179,
14.1969,1.52264,
14.1989,1.52224,
14.2009,1.52756,
14.2029,1.53061,
14.2049,1.53216,
14.2069,1.5311,
14.2089,1.5273,
14.2109,1.52483,
14.2129,1.52075,
14.2149,1.51895,
14.2165,1.51607,
14.2185,1.51735,
14.2205,1.5138,
14.2225,1.50914,
14.2245,1.50927,
14.2265,1.50357,
14.2285,1.50152,
14.2305,1.49816,
14.2325,1.49846,
14.2346,1.49075,
14.2369,1.48489,
14.2389,1.47903,
14.2409,1.47816,
14.243,1.47651,
14.2449,1.47109,
14.2469,1.46605,
14.2485,1.45725,
14.2499,1.45463,
14.2525,1.44934,
14.2545,1.4453,
14.2565,1.44303,
14.2585,1.43835,
14.2606,1.43649,
14.2625,1.43036,
14.2645,1.42618,
14.2665,1.42383,
14.2685,1.42225,
14.2705,1.42034,
14.2725,1.41486,
14.2745,1.41135,
14.2765,1.40839,
14.2785,1.40632,
14.2805,1.40699,
14.2826,1.40181,
14.2849,1.39742,
14.2869,1.39537,
14.2889,1.39703,
14.2909,1.39332,
14.2929,1.38949,
14.2949,1.38745,
14.2969,1.38643,
14.2989,1.38757,
14.3009,1.38466,
14.3029,1.38303,
14.3049,1.38027,
14.3069,1.38226,
14.3089,1.3832,
14.3109,1.37821,
14.3129,1.37597,
14.3149,1.37334,
14.3169,1.37334,
14.3184,1.37686,
14.3205,1.37066,
14.3225,1.3698,
14.3245,1.36817,
14.3265,1.37212,
14.3285,1.37203,
14.3305,1.37092,
14.332,1.36929,
14.3339,1.3658,
14.3359,1.36861,
14.3379,1.36809,
14.3399,1.36568,
14.3419,1.3637,
14.3439,1.36378,
14.3459,1.36683,
14.348,1.3654,
14.3499,1.36412,
14.3519,1.36188,
14.3539,1.36314,
14.3559,1.3674,
14.3579,1.36466,
14.3599,1.36358,
14.3619,1.36376,
14.364,1.36328,
14.3654,1.36841,
14.3675,1.36195,
14.3695,1.36203,
14.3715,1.36185,
14.3735,1.36291,
14.3755,1.36507,
14.3775,1.35817,
14.3795,1.35895,
14.3816,1.35897,
14.3835,1.3589,
14.3855,1.35895,
14.3875,1.35784,
14.3895,1.35983,
14.3915,1.35851,
14.3935,1.36213,
14.3955,1.36009,
14.3975,1.36164,
14.3995,1.36236,
14.4015,1.3615,
14.4035,1.36091,
14.4055,1.35789,
14.4075,1.36015,
14.4095,1.36047,
14.4115,1.35786,
14.4135,1.35606,
14.4155,1.35546,
14.4175,1.35851,
14.4195,1.3574,
14.4215,1.35629,
14.4235,1.35473,
14.4255,1.35752,
14.4275,1.3613,
14.4295,1.35729,
14.4316,1.35728,
14.4335,1.35749,
14.4355,1.35791,
