time [s],filter_volt,voltage,
13.0769,1.37692,1.29563,
13.0789,1.37889,1.31382,
13.0809,1.37895,1.3029,
13.0825,1.37812,1.52333,
13.0845,1.37285,1.25053,
13.0859,1.37266,1.56479,
13.0879,1.36934,1.07302,
13.0899,1.37338,1.2869,
13.0919,1.37515,1.26507,
13.0939,1.37772,1.30945,
13.0959,1.377,1.26507,
13.0979,1.37521,1.23379,
13.0999,1.37495,1.15523,
13.1019,1.37207,1.20688,
13.1039,1.37566,1.31745,
13.1059,1.37436,1.25198,
13.1079,1.37448,1.26362,
13.1099,1.37676,1.30145,
13.1119,1.37683,1.19596,
13.1139,1.37766,1.25998,
13.1155,1.37225,1.22143,
13.1175,1.37254,1.51969,
13.1195,1.36914,1.53642,
13.1215,1.37235,1.56989,
13.1235,1.37448,1.50078,
13.1255,1.37323,1.41493,
13.1275,1.37489,1.54661,
13.1295,1.37317,1.55679,
13.1315,1.37069,1.53206,
13.1335,1.3716,1.58371,
13.1352,1.37277,1.38293,
13.1369,1.37479,1.3451,
13.1389,1.37453,1.15959,
13.1409,1.37613,1.27162,
13.1429,1.37637,1.27817,
13.1449,1.37248,1.28835,
13.1469,1.37136,1.2869,
13.1489,1.36762,1.31236,
13.1509,1.37119,1.28763,
13.1529,1.37231,1.54079,
13.1549,1.37413,1.316,
13.1569,1.37229,1.28981,
13.1589,1.37022,1.2127,
13.1609,1.37092,1.17996,
13.1629,1.36914,1.22361,
13.1649,1.37358,1.32255,
13.1669,1.37364,1.26653,
13.1689,1.37168,1.25562,
13.1709,1.37394,1.28326,
13.1729,1.37344,1.18142,
13.1749,1.37307,1.25562,
13.1769,1.36809,1.22797,
13.1789,1.36661,1.24325,
13.1808,1.36937,1.30363,
13.1825,1.36966,1.54806,
13.1846,1.37337,1.47531,
13.1865,1.36987,1.41784,
13.1885,1.37128,1.53133,
13.1905,1.36959,1.55024,
13.1925,1.36888,1.52042,
13.1945,1.37205,1.5968,
13.1965,1.37093,1.40766,
13.1985,1.37537,1.54442,
13.2005,1.37368,1.56625,
13.2025,1.37458,1.50732,
13.2045,1.37335,1.53424,
13.2065,1.36834,1.25271,
13.2085,1.37035,1.5306,
13.2105,1.36861,1.51169,
13.2125,1.37311,1.62881,
13.2145,1.37444,1.53278,
13.2165,1.374,1.39456,
13.2182,1.37562,1.47968,
13.2205,1.37186,1.43821,
13.2225,1.37291,1.50951,
13.2245,1.37178,1.53278,
13.2265,1.37454,1.5066,
13.2285,1.37575,1.53278,
13.2305,1.37545,1.44767,
13.2325,1.37637,1.50805,
13.2345,1.37484,1.52115,
13.2369,1.37027,1.05484,
13.2389,1.37347,1.31818,
13.2409,1.3716,1.21997,
13.2429,1.37428,1.27744,
13.2449,1.37442,1.26726,
13.2469,1.37263,1.2207,
13.2489,1.3741,1.4644,
13.2509,1.37108,1.14722,
13.2523,1.37285,1.51314,
13.2545,1.36956,1.37929,
13.2565,1.3738,1.57643,
13.2585,1.37349,1.55606,
13.2605,1.37345,1.43094,
13.2625,1.37541,1.46804,
13.2642,1.37328,1.48113,
13.2659,1.37479,1.20542,
13.2679,1.37072,1.16105,
13.2695,1.37289,1.55388,
13.2715,1.37213,1.5437,
13.2735,1.37537,1.51605,
13.2755,1.37641,1.53933,
13.2769,1.37678,1.54006,
13.2789,1.37394,1.56625,
13.2805,1.37163,1.48186,
13.2819,1.37255,1.28326,
13.2835,1.37171,1.54297,
13.2855,1.37279,1.53715,
13.2875,1.37467,1.4564,
13.2895,1.37489,1.29272,
13.2916,1.37359,1.4484,
13.2939,1.3732,1.50005,
13.2959,1.37367,1.27744,
13.2978,1.37082,1.32473,
13.2992,1.37382,1.58953,
13.3005,1.3836,1.84051,
13.3026,1.4112,1.67682,
13.3043,1.43645,1.89288,
13.3059,1.45172,1.56479,
13.3075,1.46491,1.73357,
13.3095,1.47882,1.83396,
13.3115,1.49053,1.41057,
13.3133,1.50232,1.71174,
13.3149,1.50828,1.39675,
13.3169,1.5163,1.69574,
13.3189,1.52067,1.64773,
13.3209,1.52819,1.75903,
13.3229,1.52906,1.70883,
13.3249,1.532,1.70811,
13.3269,1.53005,1.7132,
13.3289,1.52781,1.70665,
13.3309,1.52825,1.72265,
13.3329,1.52859,1.7001,
13.3349,1.53083,1.74011,
13.3369,1.52551,1.47677,
13.3389,1.52583,1.59607,
13.3409,1.52354,1.5728,
13.3429,1.52681,1.71102,
13.3449,1.52135,1.59607,
13.3469,1.51916,1.65136,
13.3489,1.51887,1.67319,
13.3509,1.52114,1.69938,
13.3529,1.51395,1.63827,
13.3549,1.51367,1.64045,
13.3565,1.51234,1.66082,
13.3585,1.51011,1.64409,
13.3605,1.50693,1.655,
13.3625,1.50752,1.65427,
13.3645,1.49555,1.56407,
13.3665,1.49126,1.56116,
13.3685,1.48537,1.62881,
13.3705,1.48001,1.56407,
13.3725,1.47805,1.60044,
13.3745,1.47305,1.5808,
13.3765,1.47018,1.58735,
13.3782,1.46456,1.54224,
13.3805,1.46079,1.59535,
