time [s],adc_buf[0],
14.4455,2102,
14.4475,1753,
14.4495,1896,
14.4515,1726,
14.4535,1540,
14.4555,2120,
14.4575,2090,
14.4595,2058,
14.4615,2125,
14.4635,1912,
14.4655,1633,
14.4675,2051,
14.4695,2142,
14.4715,2071,
14.4735,2026,
14.4755,1852,
14.4775,1909,
14.4795,2126,
14.4811,2070,
14.4829,1667,
14.4853,2023,
14.4875,1987,
14.4895,2185,
14.4915,2084,
14.4935,2084,
14.4955,2059,
14.4975,2084,
14.4995,2024,
14.5015,1947,
14.5039,1910,
14.5059,2041,
14.5079,2115,
14.5099,2066,
14.5119,2087,
14.5139,2032,
14.5159,2003,
14.5179,2153,
14.5199,2083,
14.5219,1699,
14.5235,1679,
14.5255,1895,
14.5275,2108,
14.5295,1609,
14.5315,2113,
14.5335,1674,
14.5355,1995,
14.5372,2003,
14.5395,1983,
14.5415,2117,
14.5435,2066,
14.5455,1693,
14.5475,2084,
14.5495,1559,
14.5515,1739,
14.5539,1867,
14.5559,2075,
14.5579,2066,
14.5599,2092,
14.5619,2137,
14.5639,1936,
14.5658,1914,
14.5679,1688,
14.5699,2143,
14.5715,2091,
14.5735,1676,
14.5755,1636,
14.5775,1590,
14.5795,1779,
14.5815,1673,
14.5835,1735,
14.5851,1676,
14.5869,1633,
14.5889,2100,
14.591,2150,
14.5929,2001,
14.5949,2026,
14.5969,1899,
14.5989,2120,
14.6009,2082,
14.6029,2101,
14.6049,2122,
14.6069,1997,
14.6089,2012,
14.611,2016,
14.6129,2122,
14.6149,2089,
14.6169,2071,
14.6189,2085,
14.6209,1943,
14.6229,2193,
14.6249,2019,
14.6269,2103,
14.6289,2052,
14.6309,1964,
14.6325,1633,
14.6345,1484,
14.6365,1729,
14.6385,1664,
14.6405,1751,
14.6425,1725,
14.6445,2003,
14.6459,1619,
14.6479,1715,
14.6499,2040,
14.6519,2113,
14.6539,1906,
14.6559,2029,
14.6579,2081,
14.66,2220,
14.662,1750,
14.6645,2126,
14.6659,1648,
14.6679,1471,
14.6699,2114,
14.6718,2089,
14.6739,2059,
14.6759,2084,
14.6779,1896,
14.6799,2142,
14.6819,2053,
14.6839,2145,
14.6859,1662,
14.6879,2011,
14.6899,1946,
14.6919,1931,
14.694,2131,
14.6955,1641,
14.6981,2085,
14.6999,1671,
14.7019,1683,
14.7039,2170,
14.7059,2079,
14.708,2082,
14.7099,1664,
14.7119,1748,
14.7138,1718,
14.7159,1954,
14.7179,1620,
14.7199,2101,
14.7219,2082,
14.7239,2138,
14.7259,2034,
14.728,2006,
14.7296,1636,
14.7319,1689,
14.7339,1694,
14.7359,1992,
14.738,1659,
14.74,1599,
14.7415,1687,
14.744,1697,
14.7459,1684,
14.7479,2095,
14.7494,1692,
14.7513,2142,
14.7535,2050,
14.7555,1730,
14.758,2066,
14.7599,1696,
14.762,1726,
14.7639,1614,
14.766,1718,
14.7675,1474,
14.7695,1714,
14.7715,1674,
14.7732,1688,
14.7749,2190,
14.7765,1712,
14.7786,1637,
14.7805,1634,
14.7825,1602,
14.7845,1752,
14.7865,1712,
14.7882,1719,
14.7905,2085,
14.7925,1628,
14.7943,1765,
14.7965,2061,
14.7985,1694,
14.8005,1652,
14.8024,1728,
14.8045,2058,
14.8065,1477,
14.8085,1712,
14.8106,1678,
14.8125,1724,
14.8146,1727,
14.8165,2056,
14.8185,1672,
14.8205,1561,
14.8225,1758,
14.8245,1660,
14.8259,1734,
14.8279,1690,
14.8299,1596,
14.8318,1714,
14.834,2138,
14.8359,1663,
14.8379,1737,
14.8399,1552,
14.8415,1576,
14.8435,1678,
14.8455,1707,
14.8476,1726,
14.8495,1529,
14.852,1633,
14.8539,1593,
14.8558,1767,
14.8579,2082,
14.8599,1696,
14.862,1718,
14.864,1663,
14.8654,1770,
14.8675,1678,
14.8693,1713,
14.8709,2025,
